compound	BLK_1	PB_PM1	PB_PM10	PB_PM11	PB_PM12	PB_PM2	PB_PM3	PB_PM4	PB_PM5	PB_PM6	PB_PM7	PB_PM8	PB_PM9	PM1_D0	PM1_D10	PM1_D30	PM1_D50	PM10_D0	PM10_D10	PM10_D30	PM10_D50	PM11_D0	PM11_D10	PM11_D30	PM11_D50	PM12_D0	PM12_D10	PM2_D0	PM2_D10	PM2_D30	PM2_D50	PM3_D0	PM3_D10	PM3_D30	PM3_D50	PM4_D0	PM4_D10	PM4_D30	PM4_D50	PM5_D0	PM5_D10	PM5_D30	PM5_D50	PM6_D0	PM6_D10	PM6_D30	PM6_D50	PM7_D0	PM7_D10	PM7_D30	PM7_D50	PM8_D0	PM8_D10	PM8_D30	PM8_D50	PM9_D0	PM9_D10	PM9_D30	PM9_D50	QC2	QC3	QC4	QC5	QC6	QC7
ft388	NA	42848	68448	43989	42014	27615	42528	43503	77329	32961	65848	58273	48433	40816	89502	30828	NA	18500	NA	41308	35019	NA	6037	29135	25727	30476	36379	NA	44649	31700	20676	36301	25360	24700	38969	42377	NA	21061	32654	22847	32515	23797	37472	20336	23898	35099	20577	44813	34382	23376	33056	53417	NA	19590	41659	18933	37079	38446	42771	41911	47705	30766	27028	26621	NA
ft395	8218	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	51868	NA	NA	NA	NA	NA	6180	10923	NA	NA	NA	NA	30910	10306	NA	NA	NA	NA	NA	NA	20157	62299	NA	32319	NA	54491	NA	NA	10565	49364	29040	18445	NA	NA	NA	45708	NA	NA	26330	NA	NA	11075	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ft389	218054	47654	247562	46727	220803	40609	210253	201175	220770	187522	234078	205883	NA	271676	237730	247768	150353	239803	292536	285568	273269	297362	220747	234966	232699	281026	239210	272911	239659	193935	223898	51503	222543	223210	214011	253086	239892	236527	249664	254113	220871	182777	296099	260808	249458	261827	204632	240362	284498	60351	256246	277663	193574	232635	234868	263143	291548	253154	264397	240649	258187	246221	246789	203072	230086
ft396	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	10499	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	9687	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ft387	216921	213016	211491	210753	210119	217507	199999	187966	229629	191674	230306	194164	191946	195458	231449	210793	122162	208300	218416	225834	209673	211918	188468	NA	193347	201466	223351	229079	221878	179612	199123	200022	193168	204567	211390	228850	214959	208262	211083	206229	215420	179545	NA	195620	205159	224192	199033	223931	217107	191916	217204	236385	192987	194859	222577	197132	231774	229267	214290	212684	234879	232048	218037	180843	205807
ft392	NA	58174	71354	33384	49503	26526	45531	33419	107373	57387	32200	46722	48183	88597	145972	76217	59464	50513	NA	NA	NA	NA	NA	21025	NA	NA	NA	231443	45343	160334	208645	13271	NA	NA	NA	130883	NA	NA	42351	37675	NA	NA	38222	NA	NA	NA	NA	69520	22561	NA	30941	NA	NA	NA	50358	NA	NA	NA	NA	46613	51926	37076	43697	36890	NA
ft394	8277	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	82361	27951	NA	NA	NA	NA	NA	NA	28543	NA	NA	NA	47636	NA	14136	72776	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	15012	NA	NA	NA	NA	8937	NA	NA	NA	NA	NA	NA	NA	NA	NA	16552	NA	19636	24498	26285	24271	NA	NA
ft390	18746	NA	22466	NA	19733	20486	18654	16021	18071	NA	NA	NA	NA	NA	20132	15672	NA	NA	NA	24481	19321	NA	21891	16339	NA	15772	20946	14153	20976	16109	NA	13436	12743	NA	17087	16407	NA	20462	15145	16492	10564	15878	21867	16860	23208	22683	12347	20509	24661	16060	16987	15457	14037	13195	60556	21394	26051	NA	24784	NA	18063	NA	NA	17744	20373
ft391	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	12711	NA	15850	29195	NA	NA	NA	30424	NA	NA	NA	NA	NA	NA	NA	22096	NA	NA	NA	NA	23496	NA	NA	71672	10508	NA	NA	NA	NA	NA	NA	NA	7709	NA
ft397	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	8075	NA	33612	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	10266	NA	19721	NA	NA	17252	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ft393	NA	16972	NA	51800	22543	45178	66701	32407	110711	29046	21488	40758	62578	21730	77933	NA	NA	297658	15018	NA	NA	24471	NA	38490	NA	NA	65561	NA	NA	64187	20539	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	25970	NA	NA	NA	NA	NA	NA	13066	NA	NA	NA	NA	NA	NA	NA	13455	NA	16383	NA	18425	19641	16556	17034
ft399	NA	NA	NA	NA	NA	NA	192279	NA	NA	NA	179683	NA	NA	34737	306629	NA	72822	NA	NA	NA	84051	NA	NA	NA	148862	NA	NA	250424	141567	NA	152803	NA	NA	NA	NA	213995	NA	NA	178384	NA	NA	NA	236791	NA	NA	NA	NA	115525	NA	NA	NA	192514	NA	NA	NA	NA	NA	NA	NA	NA	NA	87149	NA	122648	NA
ft398	57015	169265	157297	136688	156238	195674	76968	166417	181367	152909	40479	154842	173582	159042	NA	227116	NA	197065	115886	128895	175782	115988	274589	143622	338009	156437	157981	177172	NA	149789	156412	152458	162986	173817	168595	NA	NA	168567	161771	147199	97154	144953	NA	155557	166548	45164	139304	170542	53884	154034	61971	140938	NA	185958	208442	189306	161289	111561	93080	157277	163731	221430	159696	201775	291793
ft401	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	5964	NA	NA	NA	NA	4496	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	153340	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ft400	NA	NA	153496	NA	85506	NA	NA	NA	157696	106780	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ft452	15610	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	9855	NA	NA	10476	NA	17153	NA	NA	NA	NA	NA	NA	8799	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	9260	NA	NA	14380	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ft429	NA	27836	NA	NA	34051	NA	25817	NA	NA	NA	11039	NA	NA	12120	15985	NA	NA	118167	NA	NA	11975	19417	8961	24822	9320	NA	27435	11527	NA	16147	NA	NA	NA	NA	26957	18792	NA	NA	33242	NA	NA	NA	17365	NA	NA	NA	15602	11114	9001	NA	NA	11809	NA	NA	63855	137556	274927	NA	NA	NA	25928	23519	22169	NA	20047
ft409	NA	20541	NA	115866	NA	113746	34450	33450	NA	167403	35701	48665	119002	27567	NA	32697	25694	NA	23606	37061	24389	40439	33570	35554	17388	53610	228890	28592	NA	46869	28469	26392	24156	27712	31759	NA	NA	26961	48660	NA	17323	20542	44393	34314	34232	27365	73442	35844	21259	22223	38793	141240	NA	31300	NA	NA	NA	34681	29969	33515	35653	NA	36660	35693	35434
ft443	NA	NA	NA	NA	NA	NA	26642	NA	118291	NA	NA	NA	31922	NA	263692	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	21704	29526	306251	2875377	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	17256	NA	NA	10158	15987
ft447	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	371326	NA	NA	NA	NA	106606	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	11064	NA	NA	NA	NA
ft420	NA	NA	329727	312459	68554	145258	265082	NA	NA	123108	NA	180033	NA	NA	NA	2966354	420135	1183977	486918	NA	NA	NA	275356	NA	NA	640876	368993	764878	513536	NA	2123539	164162	535660	258300	493860	2044624	NA	NA	NA	1234253	478265	NA	1314257	NA	495621	94448	322629	349551	339466	NA	142948	2251448	NA	NA	5396213	1871110	389626	NA	409652	NA	795333	NA	NA	519493	NA
ft408	367534	364898	399124	350630	380497	199105	345174	177829	364289	292611	375141	240752	335815	2148920	1261411	524741	262969	398691	480018	465417	481727	765778	288502	384785	371405	483031	391933	445953	417344	312489	580816	282322	366812	335108	356459	408007	621987	398681	442247	434216	377566	312606	501741	436767	388693	426840	363509	435667	372861	334338	429864	405096	NA	394315	666452	432667	495717	418382	464003	409305	401625	676306	714838	308626	393753
ft441	NA	NA	NA	NA	NA	NA	NA	NA	NA	45862	NA	NA	NA	32695	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	82856	NA	NA
ft450	NA	NA	NA	NA	NA	NA	NA	NA	7351	NA	13129	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	10647	10736	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	3907	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ft446	NA	28346	NA	42388	NA	36596	NA	NA	144666	NA	47017	NA	25361	NA	NA	NA	NA	91843	NA	NA	NA	NA	NA	NA	NA	NA	NA	17620	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ft455	NA	NA	NA	NA	NA	NA	46963	38786	NA	NA	NA	58884	NA	NA	NA	NA	NA	30965	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	777623	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ft404	52208	55561	59479	54290	54079	54931	50913	48165	50468	47141	59398	45023	47123	67838	48407	62695	41836	53482	71464	67840	65685	66554	53455	53680	53772	62409	59813	64567	57194	NA	57736	57840	57806	50819	47992	64365	1763087	60654	63263	54098	58139	44455	71898	60892	54417	62158	48808	55206	70333	41997	56952	65002	1659254	55832	46115	63523	73818	56818	64429	64623	62455	56196	61750	45907	51130
ft445	NA	NA	74697	12224	49731	34474	10497	16285	NA	65562	NA	6502	2135	54780	24300	NA	NA	NA	NA	NA	127591	NA	NA	NA	NA	NA	19249	NA	58060	30461	NA	NA	NA	79413	NA	NA	NA	NA	NA	NA	58363	NA	NA	NA	NA	NA	NA	NA	NA	NA	59138	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ft426	NA	18093	26153	NA	NA	NA	NA	NA	NA	NA	13468	NA	NA	24452	29845	91331	19849	NA	NA	NA	31058	20800	NA	22486	NA	NA	NA	NA	NA	NA	48585	29133	NA	NA	14866	117552	NA	NA	37164	15823	NA	17231	31201	NA	NA	16230	14914	25301	NA	NA	NA	26070	NA	NA	NA	NA	31830	NA	NA	35860	38335	32721	36063	19948	37264
ft427	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	24300	NA	NA	NA	NA	NA	NA	17678	19953
ft402	63660	65155	76556	15367	97843	71052	94358	61605	43778	12700	21780	NA	58102	78594	67782	16549	10903	64246	85282	84087	81088	85560	66388	114363	68134	81609	16265	21486	69992	54207	63574	66276	64794	64404	57901	69795	50408	16318	73071	71934	62213	53804	89297	74672	16213	NA	58295	69404	80513	57138	67597	50096	37662	67787	65224	74432	80774	64241	76552	70702	74910	68972	69991	57231	14150
ft421	112036	NA	NA	99430	NA	37770	NA	92728	NA	76769	88861	NA	NA	NA	NA	69552	45724	NA	20170	NA	NA	NA	NA	NA	NA	55224	57338	77692	NA	46237	NA	NA	NA	NA	33760	16773	NA	66561	NA	NA	18076	NA	NA	NA	62996	NA	NA	NA	NA	14022	NA	64673	NA	15447	NA	NA	NA	114404	NA	NA	NA	NA	NA	NA	62595
ft422	NA	NA	121272	NA	NA	NA	NA	NA	194355	71579	NA	70441	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ft461	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	21201	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	9091	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ft411	47131	NA	NA	26313	35418	38434	8674	NA	23169	NA	48403	49152	NA	NA	39462	NA	NA	47918	63549	NA	63553	61026	38483	43443	46021	55808	45807	58893	55461	23366	9817	33099	31270	43890	NA	50017	42240	50825	50822	52805	43016	26351	68799	57959	50650	59541	NA	NA	58762	NA	52402	55932	38235	44428	41567	NA	58036	NA	NA	48981	37139	32815	46089	NA	46501
ft444	NA	34144	NA	NA	NA	NA	39264	NA	NA	39897	NA	13418	27611	18826	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	11322	NA	NA	12954	NA	NA	NA	NA	19275	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	9189	NA	NA	NA	NA
ft456	NA	NA	NA	NA	NA	NA	NA	55374	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	21838	NA	NA	NA	NA	NA	NA	NA	56066	NA	NA	NA	NA	NA	29240	NA	NA	NA	NA
ft439	NA	19818	126155	16949	NA	16231	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	10918	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	19101	NA	NA	21999	NA	NA	NA	NA	NA	NA	20231	NA	16858	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ft459	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	21131	18091	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ft405	26549	NA	28302	18011	20413	19203	13479	18643	20590	NA	22544	NA	19479	42294	31402	35865	22220	22600	32264	36484	33371	26779	22465	23475	22717	31694	NA	27652	26052	18792	22659	24927	28188	20240	21173	27742	19717	NA	24784	26379	NA	20571	32621	31394	29698	24890	21430	26411	26742	NA	27918	30315	14562	8804	20743	32577	35574	35441	31566	27036	28419	24011	28980	21693	33862
ft424	NA	NA	NA	20298	NA	NA	23971	NA	NA	42074	26075	37307	22587	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	134620	NA	29589	63539	NA	NA	NA	NA	12832	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	9335	NA	NA	NA	NA	NA	28915	NA	35100	26879	NA
ft433	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	49510	NA	NA	NA	17834	18433	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	25434	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ft432	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	41338	90496	20406	NA	NA	31649	33370	NA	NA	NA	NA	NA	NA	NA	25092	NA	30594	NA	NA	12551	23711	NA	NA	NA	NA	NA	NA	NA	63300	32018	NA	NA	19887	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	21931	NA	NA	10572	22978	NA	NA	NA
ft434	NA	NA	87811	95952	111116	NA	486079	91865	202431	38455	NA	NA	NA	NA	NA	NA	NA	83566	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	21519	NA
ft435	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	28143	64820	36527	NA	NA	NA	18207	NA	NA	NA	NA	NA	NA	49741	NA	NA	NA	18717	34530	NA	NA	109004	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ft414	NA	24052	64353	52153	40262	58292	50994	44701	51374	30291	77081	30146	22462	29240	31813	28919	38452	24456	33858	33454	33088	31361	24589	26816	25197	34162	27002	34073	29308	NA	22061	25221	11275	15632	22189	17967	21803	29198	49365	22455	25171	20239	36575	30221	26499	NA	34103	27008	32401	NA	NA	17688	17045	24349	38096	33514	36350	9991	35231	29203	22775	26848	29616	16727	27388
ft412	NA	40650	58816	58381	NA	145109	135149	85890	216131	NA	57501	105736	98501	53322	65146	39412	NA	NA	15420	41467	NA	NA	26853	45047	17196	28810	30732	27909	NA	215806	33236	NA	NA	NA	NA	16852	NA	NA	16201	24725	22847	37510	53940	NA	14073	NA	13984	NA	NA	21815	9802	19360	NA	NA	23786	NA	35826	25079	27095	32703	38655	38797	36392	24699	56370
ft458	NA	NA	24514	NA	NA	NA	NA	NA	NA	NA	NA	NA	72672	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	37367	NA	16408	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ft423	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	16955	NA	NA	NA	25544	NA	NA	16783	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	13796	NA	NA	NA	25654	17136	NA	NA	21422	NA	NA
ft425	NA	119779	NA	NA	NA	101144	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	32424	17783	NA	12614	22284	NA	28310	NA	44780	NA	NA	52207	NA	NA	NA	NA	NA	NA	11482	21499	NA	NA	NA	23297	33415	NA	NA	57984	26476	17141	NA	11488	NA	NA	NA	NA	NA	NA
ft416	27739	NA	195383	NA	19377	NA	164511	NA	NA	208469	NA	NA	131916	NA	79584	50986	NA	44762	99870	57064	43562	71305	16354	NA	86013	34462	34375	40185	26583	NA	53753	NA	28499	66099	87002	71083	51486	28457	64772	71577	63324	33923	52055	61785	68749	21132	NA	71256	43560	NA	18892	37187	NA	68675	NA	49408	48673	56318	32950	83951	28322	35070	43070	21879	12249
ft438	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	55663	62581	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ft417	NA	110346	312570	207326	225367	138521	NA	92208	544250	NA	175925	220833	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ft413	NA	457691	NA	136022	NA	28545	1994510	264452	NA	NA	NA	NA	31312	22185	21271	38116	NA	40146	39660	51904	29822	57705	47166	39570	59349	41598	41232	NA	23806	16727	27064	21438	18455	25856	29204	27394	NA	17106	27107	25140	21837	NA	NA	21394	26158	NA	19794	22526	18145	21400	NA	26082	NA	30552	49122	NA	36579	NA	75673	43593	49929	60983	53117	52543	46044
ft442	NA	NA	NA	NA	NA	NA	NA	NA	2561112	NA	NA	NA	NA	205114	295672	NA	NA	NA	18539	3847	NA	NA	NA	NA	NA	12573	NA	NA	6453	11411	NA	NA	NA	NA	292176	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	18214	NA	NA	15498	NA	NA	NA	8963	NA	NA	NA	17401	NA	NA	22976	NA	NA	147909	NA	NA
ft403	NA	2002873	4936390	2350376	2623180	1278174	1535944	1289554	6028400	4787843	2349444	3213910	2341906	NA	773451	278228	569272	123170	119924	117457	136071	144666	NA	95333	59227	133203	142898	1827124	612573	190518	894350	346728	271340	618204	871191	347753	NA	172395	545317	174810	97782	71372	215108	114752	87072	108678	158543	246401	NA	91903	80628	319312	NA	72355	493893	152571	123379	122571	167427	561260	619484	471294	497465	381379	454323
ft457	NA	NA	NA	14269	NA	53663	NA	283375	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	11725	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	10322	NA	NA	NA	NA	NA	27790
ft453	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	94762	NA	NA	NA	236775	NA	76353	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	79745	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	46074	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ft448	8815	NA	NA	NA	NA	NA	22892	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	22583	NA	4684	NA	NA	NA	NA	NA	NA	NA	NA	13357	NA	NA	NA	7444	NA	NA	NA	NA	NA	NA	NA	7476	NA	NA	NA	28770	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ft428	NA	NA	NA	NA	NA	24061	57913	23849	NA	NA	8854	NA	NA	20153	NA	NA	NA	9154	17606	18729	18754	621705	14758	NA	15916	169573	NA	NA	NA	27595	23114	176893	17681	NA	NA	NA	NA	17312	NA	16447	16680	NA	NA	26558	NA	14218	15105	5922	20926	NA	27061	43246	31035	16497	NA	73339	20896	17395	NA	NA	29631	NA	NA	NA	NA
ft449	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	212338	NA	NA	NA	50995	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	31607	NA	NA	NA	NA	NA	NA	NA	NA	NA
ft410	NA	NA	62965	44838	47332	52122	49926	33607	74744	52374	35237	50925	32028	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ft436	NA	NA	NA	NA	NA	NA	25013	NA	42717	NA	NA	NA	NA	NA	31588	NA	NA	NA	NA	13319	NA	29937	NA	NA	NA	NA	NA	NA	NA	53032	NA	NA	NA	11379	NA	NA	906303	NA	NA	NA	NA	9270	NA	24540	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	11650	NA	NA	NA	NA	NA
ft437	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	26021	12909	NA	NA	22803	NA	NA	NA	NA	NA	NA	NA	17564	NA	NA	NA	NA	NA	NA	NA	55444	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ft406	30634	27688	71189	56306	66871	55029	45357	51112	62252	51724	56876	31096	46142	53742	54664	47507	32705	44725	33395	41128	24598	107742	43293	50108	42190	70854	40424	69283	48424	50363	50101	49167	29424	48868	55263	63954	NA	43690	46281	49877	44991	42260	NA	50404	47490	40727	44448	49455	41817	39849	50202	52541	NA	38120	46615	52358	47279	30439	NA	44291	23897	59564	64175	45197	55410
ft451	NA	NA	NA	NA	18605	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	66264	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	125913	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	64813	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	42474	NA	NA	NA	41199	NA	NA	22088	NA	NA	NA
ft419	NA	62073	19349	36024	11578	31303	40858	28994	61205	NA	51678	41347	34434	83421	169524	69840	121693	50366	NA	NA	NA	NA	NA	30782	NA	47043	NA	250236	41617	184349	194899	20960	18162	22808	17809	139740	NA	34046	42924	33710	NA	NA	39844	50646	NA	NA	29860	57520	30838	20695	20309	164496	NA	NA	83796	56913	NA	43695	NA	34378	39678	33816	30567	17841	26804
ft431	NA	NA	NA	23296	NA	NA	NA	42279	80321	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	59137	36725	NA	NA	36716	98004	NA	NA	48760	46225	NA	NA	NA	NA	NA	208937	20528	32391	NA	NA	23993	36588	NA	NA	26885	NA	NA	16027	NA	NA	NA	NA	25466	NA	NA	NA	19853	24517	NA	27445	23801	22760	16402	NA
